Business Name,Business Category,Address,Contact
Pankaj Kumar,Grocery store,"106, Buxar, near by Station Ke Paas",070040 85044
Jhman Gupta,Grocery store,"Jhaman Bhawan, 11, Shivpuri Rd",099392 56438
Ramchandra Sahu,Grocery store,"Ramchandra Bhawan, 100, Budhanpurva Road",093415 77529
Mangal Sutra Guthai,Grocery store,"Anil Bhawan, 10, Purana Chowk",096311 77794
Patanjali Gramin Arogya Kendra,Indian grocery store,Ground Floor,091131 18932
BUXAR KART,Grocery delivery service,"CHINI MILL, near NEW BRIDGE",06183 357 107
Om Sai Nath Traders,Grocery store,"budhanpurwa, VILLAGE HXJR 3H3, Babanagar",082104 87683
Ritesh Kirana store,Indian grocery store,"Parari, Simri Rd",095760 96028
Ritesh Chaudhary,Grocery store,"Nai Bazar, near Sri Krishna Vatralay",093360 10634
Shanvi Plastic,Grocery store,"Kritika Bhawan, 100, Purana, Thana Rd",084093 60099
Prasad Misthan Bhandar,Grocery store,"Deepak Bhawan, 100, Munim Chowk Road",062011 64748
Satyanarayan Kirana Dukan,Store,sation road,078578 78753
Krishna Hair Cutting,Grocery store,"Lalmuni Bhwan, 16, Bandh Rd",089693 49330
Hira Kirana Store,General store,"Shop No 01, near Hanuman Ji Mahlatoli",075493 99657
Saroj Kirana,Grocery store,"Saroj Kirana, Buxar Marg",087574 54075
New Hindu Murga Dukan,Grocery store,F2H6 MRP802123,062023 10898
Suraj General Store,General store,"Police Chowki, near Raj Mobile Shop",088159 29267
RAJDEV KUMAR,Grocery store,"101 Harpur Near Goverdhan Temple Pasahara, Road",077398 49802
KGN किराना,Grocery store,"HX37+RR8, नई बाजार, बड़ी मस्जिद, बक्सर",085419 33434
Gopal Jee Kirana Store,General store,"111, SH 13",06183 224 135
Gaurav Foods,Grocery delivery service,"Gaurav foods, Namak Gola, below park view restaurant",062012 88953
Guddu Kirana Shop,Grocery store,near Dr Mahendra Prasad Clinic,099345 50129
Manoj Kirana,Grocery store,LBT College Rd,095461 58726
Bilatan Bind,Grocery store,"103 Karmahari, Ramgarh Road, near Primary School",062072 05667
Svaminath,Grocery store,"106 Karmahari, Ramgarh Road, near Primary School",072500 72626
Hemant Tiwari,Grocery store,"105 Dewaitha, Gharohiya Road, near Bharat Petroleum",095061 84655
VIVEK KIRANA AND GENERAL STORE,Dairy store,"Jyoti chowk, HX9G 424, Station Rd, Jyoti Chowk",077177 45225
Nirmala Kirana Store,Grocery store,"HXFH+Q6Q, Hanuman Fatak, in front of Hanuman Mandir",082350 59310
VIKAS KIRANA,Grocery store,"HXGP+C2P, Buxar Main Rd",073018 12243
Nandini pet Shop Buxar,Pet store,"maharaja petrolpump, Station Rd",091224 17999
Sam Cattery And Pet Shop,Pet store,"Kotwali Chowk, Munimum Chowk, near Sultan Sports",076676 89088
Durga Shop,Pet store,"22Rohit Bhawan, 802101, Golambar Road",070507 87440
Vaishno Sweets Buxar,Sweet shop,"SH 13, 111, SH 13",078705 65614
KUNDAN NAMKEEN AND SWEETS,Indian sweets shop,Amla Toli main road,089360 51424
Balaji Sweets and bakers,Sweet shop,Main road,097719 46155
Sharda’s sweet and namkeen,Sweet shop,Amla Toli Main Road,099317 52365
